"title","rating","reviews","type","address","description","serviceOptions","gpsCoordinates","placeUrl","dataId","website"
"Godavari Seva Sadan Girls Hostel","4.1","561","Hostel","6JW9+CHR, Shayam Mandir Marg","077738 22280","""Hostel rooms, mess food and hygiene is fantastic.""","{""latitude"":""21.2461177"",""longitude"":""81.6189029""}","https://www.google.com/maps/place/Godavari+Seva+Sadan+Girls+Hostel/data=!4m7!3m6!1s0x3a28dde976414f93:0x89227baaa42dcd0d!8m2!3d21.2461177!4d81.6189029!16s%2Fg%2F11fyly9bsg!19sChIJk09BdundKDoRDc0tpKp7Iok?authuser=0&hl=en&rclk=1","0x3a28dde976414f93:0x89227baaa42dcd0d",
"Navya Girls Hostel","4.2","13","Girl's Hostel","6JV9+3M8",,"""Very nice place for students.""","{""latitude"":""21.2426577"",""longitude"":""81.6192029""}","https://www.google.com/maps/place/Navya+Girls+Hostel/data=!4m7!3m6!1s0x3a28ddc2088e65ef:0xb4f7dfcb8181ac8!8m2!3d21.2426577!4d81.6192029!16s%2Fg%2F11gb3nj2g6!19sChIJ72WOCMLdKDoRyBoYuPx9Tws?authuser=0&hl=en&rclk=1","0x3a28ddc2088e65ef:0xb4f7dfcb8181ac8",
"Aaft Boys' Hostel","4.3","12","Student housing center","7J7P+9JG, Pathak Hospital Gali",,"","{""latitude"":""21.2634305"",""longitude"":""81.636582""}","https://www.google.com/maps/place/Aaft+Boys%27+Hostel/data=!4m7!3m6!1s0x3a28ddb474a9ebad:0x61f48aa0ccab32f3!8m2!3d21.2634305!4d81.636582!16s%2Fg%2F11hdqvyzl1!19sChIJreupdLTdKDoR8zKrzKCK9GE?authuser=0&hl=en&rclk=1","0x3a28ddb474a9ebad:0x61f48aa0ccab32f3",
"Dhelabai Sonkar Hostel","3.8","57","Student housing center","6JF7+P8P, PS City Colony,Khoobchand Baghel Ward",,"""Very very nice Hostel""","{""latitude"":""21.2243409"",""longitude"":""81.6133263""}","https://www.google.com/maps/place/Dhelabai+Sonkar+Hostel/data=!4m7!3m6!1s0x3a28ddd1570de67d:0x1b508efff0cbba12!8m2!3d21.2243409!4d81.6133263!16s%2Fg%2F1ptxq5996!19sChIJfeYNV9HdKDoRErrL8P-OUBs?authuser=0&hl=en&rclk=1","0x3a28ddd1570de67d:0x1b508efff0cbba12",
"Rungta Girls Hostel","3.6","16","Girl's Hostel","Unnamed Road",,"""The best hostel in the raipur.""","{""latitude"":""21.2428002"",""longitude"":""81.6191985""}","https://www.google.com/maps/place/Rungta+Girls+Hostel/data=!4m7!3m6!1s0x3a28ddc2081478d5:0xb95aeb0160e270ac!8m2!3d21.2428002!4d81.6191985!16s%2Fg%2F11f_dvx27y!19sChIJ1XgUCMLdKDoRrHDiYAHrWrk?authuser=0&hl=en&rclk=1","0x3a28ddc2081478d5:0xb95aeb0160e270ac",
"Saraswati Niwas","3.7","57","Girl's Hostel","Street Number 6","Open ⋅ Closes 9 pm  099261 59053","""Its girls hostel
Boys are not allowed here""","{""latitude"":""21.251027"",""longitude"":""81.649591""}","https://www.google.com/maps/place/Saraswati+Niwas/data=!4m7!3m6!1s0x3a28dd767b2c7569:0xe9fc01c8ceb0f522!8m2!3d21.251027!4d81.649591!16s%2Fg%2F1tfzf5b6!19sChIJaXUse3bdKDoRIvWwzsgB_Ok?authuser=0&hl=en&rclk=1","0x3a28dd767b2c7569:0xe9fc01c8ceb0f522",
"Agrasen Chatrawash","3.8","140","Boy's Hostel","15/876","Open 24 hours","""The location of this hostel is also good.""","{""latitude"":""21.2449811"",""longitude"":""81.6329784""}","https://www.google.com/maps/place/Agrasen+Chatrawash/data=!4m7!3m6!1s0x3a28dd963a17cdb3:0xbb665ad2920fd67a!8m2!3d21.2449811!4d81.6329784!16s%2Fg%2F11fy4f2v04!19sChIJs80XOpbdKDoRetYPktJaZrs?authuser=0&hl=en&rclk=1","0x3a28dd963a17cdb3:0xbb665ad2920fd67a",
"Uma Devi Hostel",,,"Girl's Hostel","6JM3+WXC, Beside Verma kirana store, near sai mandir, behind cseb office",,"","{""latitude"":""21.2348183"",""longitude"":""81.6048761""}","https://www.google.com/maps/place/Uma+Devi+Hostel/data=!4m7!3m6!1s0x3a28dd2ae6e46d3f:0x77db64ceed258e80!8m2!3d21.2348183!4d81.6048761!16s%2Fg%2F11pbt7cl4n!19sChIJP23k5irdKDoRgI4l7c5k23c?authuser=0&hl=en&rclk=1","0x3a28dd2ae6e46d3f:0x77db64ceed258e80",
"Asha Girls Hostel",,,"Hostel","shop no 3, New Timber Market Rd","094255 08669","","{""latitude"":""21.257822"",""longitude"":""81.639777""}","https://www.google.com/maps/place/Asha+Girls+Hostel/data=!4m7!3m6!1s0x3a28dd84e5650501:0x9d598ba24813302a!8m2!3d21.257822!4d81.639777!16s%2Fg%2F11sbq_97gj!19sChIJAQVl5YTdKDoRKjATSKKLWZ0?authuser=0&hl=en&rclk=1","0x3a28dd84e5650501:0x9d598ba24813302a",
"Girls PG / Girls Hostel (Girls & women only)","3.7","45","Girl's Hostel","Shubham K. Mart, 2nd street, gate, LIC Rd, in front of Pandri","Open ⋅ Closes 8:30 pm  094252 13419","""Very good hostel , have good amenities, good landlords""","{""latitude"":""21.2530282"",""longitude"":""81.6504124""}","https://www.google.com/maps/place/Girls+PG+%2F+Girls+Hostel+%28Girls+%26+women+only%29/data=!4m7!3m6!1s0x3a28ddd8d24ea16b:0xf2469a499e47d235!8m2!3d21.2530282!4d81.6504124!16s%2Fg%2F11h6gcygvl!19sChIJa6FO0tjdKDoRNdJHnkmaRvI?authuser=0&hl=en&rclk=1","0x3a28ddd8d24ea16b:0xf2469a499e47d235","https://durga-girls-hostel.business.site/?utm_source=gmb&utm_medium=referral"
"Shrivastava Boys Hostel",,,"Boy's Hostel","Shreet no 3B","Open 24 hours  087882 90802","","{""latitude"":""21.2547232"",""longitude"":""81.6549186""}","https://www.google.com/maps/place/Shrivastava+Boys+Hostel/data=!4m7!3m6!1s0x3a28dd0ee8e3f8eb:0xf40861a3bb7d73a1!8m2!3d21.2547232!4d81.6549186!16s%2Fg%2F11p0gs05pp!19sChIJ6_jj6A7dKDoRoXN9u6NhCPQ?authuser=0&hl=en&rclk=1","0x3a28dd0ee8e3f8eb:0xf40861a3bb7d73a1","https://shrivastava-boys-hostel.business.site/"
"Shubhangi Hostel",,,"Girl's Hostel","6JV8+WXC, Unnamed Road",,"","{""latitude"":""21.244822"",""longitude"":""81.617379""}","https://www.google.com/maps/place/Shubhangi+Hostel/data=!4m7!3m6!1s0x3a28dd080a49b8b9:0xc0fedc74c7390eb4!8m2!3d21.244822!4d81.617379!16s%2Fg%2F11h0vshtnn!19sChIJubhJCgjdKDoRtA45x3Tc_sA?authuser=0&hl=en&rclk=1","0x3a28dd080a49b8b9:0xc0fedc74c7390eb4",
"Anandi girls hostel /pg in raipur","4.0","110","Girl's Hostel","in front, Pandri Rd Lic building, beside fashion house","Open ⋅ Closes 9 pm  099811 32602","""I have stayed in this hostel for five years of my graduation.""","{""latitude"":""21.2529425"",""longitude"":""81.65028""}","https://www.google.com/maps/place/Anandi+girls+hostel+%2Fpg+in+raipur/data=!4m7!3m6!1s0x3a28dd7703bc580b:0xb0aed3f4954e18ed!8m2!3d21.2529425!4d81.65028!16s%2Fg%2F11cn0yvthb!19sChIJC1i8A3fdKDoR7RhOlfTTrrA?authuser=0&hl=en&rclk=1","0x3a28dd7703bc580b:0xb0aed3f4954e18ed",
