,title,rating,reviews,type,address,serviceOptions,gpsCoordinates,website,phone
89,Shivoham yogshala,5.0,35,Yoga studio,"35, 2nd floor, Subhash stadium",On-site servicesOnline classes,"{""latitude"":""21.239298"",""longitude"":""81.6426191""}",http://shivohamyogshala.in/,07828343373
90,SUPPLEMENT STORE,5.0,1,Vitamin & supplements store,"Bus Stand, Shyam Plaza, opposite pandri",In-store shoppingDelivery,"{""latitude"":""21.2494824"",""longitude"":""81.64606""}",,06261880553
91,Sachin's Fitness Studio Season 2 | Gym in Raipur,4.5,172,Gym,"7J6F+C9 , Parsad Niwas, Pahadi Chowk, Gudhiyari",On-site services,"{""latitude"":""21.261103"",""longitude"":""81.623471""}",https://sachinsfitnessstudioseason2.business.site/,07999129578
94,Yes Fitness,4.4,91,Gym,"Infront of गणेश मंदिर, Agrasen Chowk",,"{""latitude"":""21.245297"",""longitude"":""81.6279299""}",,09691411838
95,Fitness Point Gym,4.0,131,Gym,"Om Complex, Raipur - Bilaspur Expy","""Location changed.""","{""latitude"":""21.265894"",""longitude"":""81.6379472""}",,08103470555
96,Yogansh Yoga Academy Raipur,4.9,76,Yoga studio,"3rd Floor A, K. Tower, Gol Chowk, above R.K. Fitness Gym",On-site servicesOnline classes,"{""latitude"":""21.2368909"",""longitude"":""81.6012222""}",http://yoganshyoga.com/,09993078777
97,Rawfit Fun Fitness Studio,4.9,66,Fitness center,"3rd Floor, Shree Radhe Complex, opp. Gold Gym",On-site servicesOnline classes,"{""latitude"":""21.2543583"",""longitude"":""81.6626251""}",https://rawfit.in/,07803988888
100,Five Lotus Indo German Nature Cure Centre | Raipur Office,4.7,3,Wellness center,"First floor, Green Paradise, Commercial Complex",,"{""latitude"":""21.2357903"",""longitude"":""81.6753591""}",https://fivelotusindogerman.com/,09111391391
103,SHREE MAHAVEER GYM & ZUMBA FITNESS,4.4,7,Gymnastics club,"Gudhiyari, Srinagar Rd, near Sandhya fuels, beside shubham hospital",,"{""latitude"":""21.2701642"",""longitude"":""81.6327955""}",https://shree-mahaveer-gym-zumba-fitness.business.site/?utm_source=gmb&utm_medium=referral,09826956008
104,VP's Pulse Unisex Gym,4.1,90,Gym,"Janghle plaza, new mandigate, Pandri Rd",,"{""latitude"":""21.2583313"",""longitude"":""81.6544656""}",https://vps-pulse-unisex-gym.business.site/,09302972999
105,Shape-Up Fitness Club,4.1,105,Fitness center,"Shrinagar Road, above P.D. Jethani Memorial Hospital Durga Chowk","""good location for every one they have different palns of gym.""","{""latitude"":""21.2728009"",""longitude"":""81.6331375""}",,07714060167
106,Jai Shree Fitness Herbalife Raipur,5.0,3,Gym,"6JXX+J9M, new bus stand, Gurudwara Rd",,"{""latitude"":""21.2490922"",""longitude"":""81.6484193""}",,09893013693
108,Star Fitness,4.7,40,Gym,Samta Colony Main Rd,On-site servicesOnline classes,"{""latitude"":""21.2465736"",""longitude"":""81.6232292""}",,07724880003
110,Bewell Health & Fitness Center,,,Gym,7M32+F2W,,"{""latitude"":""21.2537306"",""longitude"":""81.6500929""}",,08349249987
111,On Fitness,4.0,63,Fitness center,Fitness center,,"{""latitude"":""21.2465699"",""longitude"":""81.619145""}",https://www.facebook.com/onfitnessraipur,09827879299
113,HOMEFIT,4.8,19,Gym,Danteswari Chowk,On-site servicesOnline classes,"{""latitude"":""21.25284"",""longitude"":""81.6518464""}",https://homefit-gym.business.site/?utm_source=gmb&utm_medium=referral,09131640091
118,Olympus Gym,3.5,10,Health and beauty shop,"21, 319, behind vidya kidney hospital",In-store shopping,"{""latitude"":""21.2496499"",""longitude"":""81.653901""}",,09806006600
119,Olympus Pro,4.1,147,Gymnastics center,"44, Main Rd",,"{""latitude"":""21.2511411"",""longitude"":""81.6609066""}",,07000312536
134,Hirapur Sabji Market Place,3.9,161,Produce market,"7HCJ+WJG, RDA Colony Hirapur Colony Jarway Alias Hirapur",In-store shoppingDelivery,"{""latitude"":""21.2722622"",""longitude"":""81.579349""}",,09691906844
143,The Downton Hotel,3.9,304,Hotel,Hotel,"Free parking Free breakfast Free Wi-Fi Air-conditioned  ""Nice atmosphere and well addressed staffs.""","{""latitude"":""21.2538268"",""longitude"":""81.6310864""}",https://downtonhotels.in/,077149 75000
144,Hotel Vennington Court,4.0,"3,643",4-star hotel,4-star hotel,"Pool Spa Free parking Free Wi-Fi  ""One of the best address in Raipur for the finest tastes.""","{""latitude"":""21.2560805"",""longitude"":""81.6374334""}",http://www.venningtoncourt.com/,077143 33333
146,Hotel Celebration Raipur,4.0,"1,544",3-star hotel,3-star hotel,Pool Spa Free parking Free breakfast  Delivery,"{""latitude"":""21.2564679"",""longitude"":""81.6370452""}",http://www.celebrationworld.in/,077140 92990
147,Hotel Meera,3.8,"1,195",3-star hotel,3-star hotel,Pool Free breakfast Free Wi-Fi Air-conditioned  Takeaway,"{""latitude"":""21.2483585"",""longitude"":""81.6330012""}",http://www.hotelmeera.in/,077140 80087
148,Hotel Babylon Inn,4.1,"4,678",3-star hotel,3-star hotel,Free parking Free breakfast Air-conditioned Breakfast,"{""latitude"":""21.2551317"",""longitude"":""81.6386033""}",https://www.hotelbabylon.in/,077142 99999
150,Hotel Simran,3.9,"2,323",3-star hotel,3-star hotel,Free breakfast Free Wi-Fi Air-conditioned Breakfast,"{""latitude"":""21.2571834"",""longitude"":""81.6331815""}",https://hotelsimran.online/,096300 90047
151,Hotel Mayura Raipur,4.0,"2,284",3-star hotel,3-star hotel,Spa Free parking Free breakfast Free Wi-Fi,"{""latitude"":""21.2441212"",""longitude"":""81.6369854""}",,077142 00500
152,KARVY Data Managment,3.1,7,Database Management Company,"Shop No. G8 and G9, Raheja towers, Jail Rd",,"{""latitude"":""21.2559763"",""longitude"":""81.6377692""}",,08304192044
153,Pizza center and fast food corner,3.6,42,Restaurant,"6JPQ+P48, Kotwali Rd opp C.G. congress bhawan",Dine-inDrive-throughDelivery,"{""latitude"":""21.2367752"",""longitude"":""81.6378198""}",,09039361650
154,Club Casanova,4.5,28,Night club,7J4Q+H3C,Dine-in,"{""latitude"":""21.2564438"",""longitude"":""81.6376357""}",,07714333333
155,"Babylon Capital, Raipur",4.2,"1,754",Hotel,Hotel,Pool Free parking Free Wi-Fi Air-conditioned,"{""latitude"":""21.2399526"",""longitude"":""81.6775084""}",http://www.babyloncapital.in/,077166 77777
156,Hotel Punjab Palace,3.9,"1,045",3-star hotel,3-star hotel,Free breakfast Free Wi-Fi Air-conditioned Breakfast,"{""latitude"":""21.2474049"",""longitude"":""81.6415""}",http://www.punjab.org.in/,074893 50001
157,Tata AIG General Insurance Company Limited,4.0,30,Insurance company,"1st floor, 106-7 Wallfort Ozone, Bilaspur Road, near Fafadih Chowk",,"{""latitude"":""21.2579299"",""longitude"":""81.636826""}",https://www.tataaig.com/,09136972217
159,"Chokar Dhani, Raipur",4.1,"1,767",Restaurant,Restaurant,Dine-inNo delivery,"{""latitude"":""21.226599"",""longitude"":""81.6971417""}",http://chokardhani.in/,062329 07773
160,Tata AIG General Insurance Company Limited,4.0,30,Insurance company,"1st floor, 106-7 Wallfort Ozone, Bilaspur Road, near Fafadih Chowk",,"{""latitude"":""21.2579299"",""longitude"":""81.636826""}",https://www.tataaig.com/,09136972217
163,Hyatt Raipur,4.3,"2,686",5-star hotel,5-star hotel,Free parking Free Wi-Fi Air-conditioned Breakfast,"{""latitude"":""21.239509"",""longitude"":""81.6842299""}",https://www.hyatt.com/en-US/hotel/india/hyatt-raipur/rprhy?src=corp_lclb_gmb_seo_rprhy,077142 41234
164,Aloha City Stay,4.0,"1,255",2-star hotel,2-star hotel,Free breakfast Air-conditioned Breakfast Wi-Fi,"{""latitude"":""21.2482701"",""longitude"":""81.6307338""}",https://alohacitystay.in/,077147 00730
166,CG-04 Dhaba Veg,3.9,"2,262",Chinese,"Chokra Nala, G.E Road , Near Abkari bhawan",Dine-inDrive-throughNo-contact delivery,"{""latitude"":""21.2372128"",""longitude"":""81.6923578""}",https://www.facebook.com/CG04HIGHWAYINN,07974033823
168,Karnataka Bank - Raipur Branch & ATM,4.3,11,Private Sector Bank,Plot No. 2 Jail Road Opp police station Fafadih Chowk,,"{""latitude"":""21.2562841"",""longitude"":""81.6372626""}",,07712880021
169,Citrus Prime Raipur,4.2,818,3-star hotel,3-star hotel,Free parking Free breakfast Free Wi-Fi Air-conditioned,"{""latitude"":""21.252136"",""longitude"":""81.64946""}",https://www.citrushotelsindia.com/citrus-prime-raipur/,077142 99111
170,Courtyard by Marriott Raipur,4.2,"5,615",5-star hotel,5-star hotel,Pool Spa Free parking Free Wi-Fi,"{""latitude"":""21.238969"",""longitude"":""81.7015021""}",https://www.marriott.com/en-us/hotels/rprcy-courtyard-raipur/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,077143 30000
172,Cafe Timberland ️,4.1,"1,052",Restaurant,"Cafe Timberland, 53, Mumbai - Kolkata Hwy, beside Sibbal Farms, near agricultue collage",Dine-inKerbside pickupNo-contact delivery  Reserve a table,"{""latitude"":""21.2342478"",""longitude"":""81.7211956""}",https://www.facebook.com/cafetimberland/,08770122192
175,10 Downing Street - Raipur,4.0,"1,836",Pub,Pub,Dine-inTakeawayNo-contact delivery,"{""latitude"":""21.2413007"",""longitude"":""81.6841501""}",,07974140568
176,Pizza Hut,4.5,301,Pizza,"No 27, Ground Floor, Plot, Great Eastern Rd",Dine-inDrive-throughNo-contact delivery,"{""latitude"":""21.2440589"",""longitude"":""81.6078955""}",https://restaurants.pizzahut.co.in/pizza-hut-ph-ge-road-pizza-restaurant-ge-road-raipur-129366/Home?utm_source=locator&utm_medium=googleplaces,0755 664 4187
177,Madhur Courier Services,2.3,62,Courier service,"Shukla bada gali, Jail Rd, near station road",,"{""latitude"":""21.2557762"",""longitude"":""81.6381184""}",http://www.madhurcouriers.in/,07714907843
178,Gadh Kalewa,4.3,"7,271",Restaurant,Gaurav Path,Dine-inDrive-throughNo-contact delivery,"{""latitude"":""21.2440916"",""longitude"":""81.6447315""}",,09713740888
179,Pizza Hut,4.0,"1,696",Pizza,"Shop No 1 & 2, Raheja Tower, Fafadhi Chowk Jail Road Besides Celebration Hotel",Dine-inTakeawayDelivery,"{""latitude"":""21.2557992"",""longitude"":""81.6376991""}",https://restaurants.pizzahut.co.in/pizza-hut-jail-road-pizza-delivery-jail-road-raipur-6155/Home?utm_source=locator&utm_medium=googleplaces,1800 202 2022
181,"Piccadily, Raipur",4.0,"2,260",3-star hotel,3-star hotel,"Pool Free parking Free Wi-Fi Air-conditioned  ""Best for find address""","{""latitude"":""21.2563102"",""longitude"":""81.5907675""}",http://www.hotelpiccadilyraipur.com/,077142 04000
182,Magneto The Mall,4.3,"42,919",Shopping mall,"NH 53, GE Road, beside Signature Homes 2",In-store shoppingIn-store pick-up,"{""latitude"":""21.2409292"",""longitude"":""81.6841555""}",http://www.magnetothemall.com/,077122 59301
184,"Saubhagya Tilak, Ambrosia",4.1,991,Restaurant,"NH 6, Opposite City Mall 36, Labhandi",Dine-inKerbside pickupNo-contact delivery,"{""latitude"":""21.238654"",""longitude"":""81.686469""}",http://www.ambrosiaraipur.com/,097555 90400
185,CG 04 DHABA NONVEG,3.7,"1,598",Dhaba,"NH-6, Labhandi Rd, near Courtyard By Marriott",Dine-inDrive-throughNo-contact delivery,"{""latitude"":""21.2374987"",""longitude"":""81.6961203""}",https://www.facebook.com/CG04HIGHWAYINN,07241114403
189,Yadram Sahu Bhojnalay,4.0,6,Restaurant,Restaurant,Dine-inTakeaway,"{""latitude"":""21.2140873"",""longitude"":""81.6590847""}",,08109215100
191,Trackon Couriers Pvt Ltd,1.7,175,Courier service,"choubey colony ,opp sbi ,dashera ground bglw no 14 ,raipur RAIPUR HUB","""To Trackon courier service: kindly update your new address and new ...""","{""latitude"":""21.2481248"",""longitude"":""81.6113249""}",https://trackon.in/,07389267882
192,Sankalp Restaurant,3.9,558,South Indian,"Level-3, Colors Mall, NH-43, Dhamtari Rd",Dine-inDrive-throughNo-contact delivery,"{""latitude"":""21.216942"",""longitude"":""81.656204""}",https://sankalprestaurants.com/?utm_source=gmb&utm_medium=referral,07714000054
193,Property Address,3.0,2,Real estate consultant,"1st floor, Samrat Plaza, Katora Talab Main Rd",,"{""latitude"":""21.2334835"",""longitude"":""81.6519413""}",,09575711110
194,GreaterRaipur.com,4.0,3,Real estate consultant,"P3C-656 , SECTOR 27, NAYA",,"{""latitude"":""21.2513581"",""longitude"":""81.6296302""}",,07358175870
199,Sahu Murmura,3.0,4,Grocery store,"7JFJ+P65, Shivanand, Shri Nagar, Ganesh Mandir Rd",,"{""latitude"":""21.2742539"",""longitude"":""81.6306205""}",,09424242323
206,Coordinates architects,4.7,12,Architecture firm,560040,,"{""latitude"":""12.9735461"",""longitude"":""77.5323247""}",http://www.coordinates.in/,09900600815
214,Roots Classes,,,Private Tutor,"MIG - 12, Main Rd",,"{""latitude"":""21.2546599"",""longitude"":""81.661383""}",,09329025698
220,Krish Digital Studio,,,Photography studio,"6MM2+PW6, Main Rd",,"{""latitude"":""21.234284"",""longitude"":""81.6522569""}",,09826123764
345,City Collection,3.7,15,Men's clothing store,"Shop No 32, Pandri Rd",In-store shoppingDelivery,"{""latitude"":""21.255489"",""longitude"":""81.648988""}",,07712583116
352,City Kotwali Police Station,4.3,26,Police station,"6JPQ+X2W, Chhotapara Rd",,"{""latitude"":""21.2374984"",""longitude"":""81.6375646""}",https://raipur.gov.in/police-station/,07714247121
353,Hotel City Pulse,3.8,604,2-star hotel,2-star hotel,Pool Free Wi-Fi Air-conditioned Breakfast  Dine-inKerbside pickup,"{""latitude"":""21.2417568"",""longitude"":""81.6191861""}",https://hotel-city-pulse-hotel.business.site/?m=true,099262 05519
355,City Heart Residency,4.0,131,Residents association,"Kailashpuri Rd, Near Hanuman mandir","""Nice place near the heart of the city, average build quality, good security""","{""latitude"":""21.2282828"",""longitude"":""81.6326175""}",,09424244000
357,city mobile,,,Electronics store,6JQJ+M27,In-store shopping,"{""latitude"":""21.239168"",""longitude"":""81.6300544""}",,06266996601
358,City Hospital,3.5,64,General hospital,"1, Jalashaya Marg",,"{""latitude"":""21.2465385"",""longitude"":""81.6099745""}",,07714262920
359,OYO 13546 Hotel City Palace,3.6,274,2-star hotel,2-star hotel,"Pool Free Wi-Fi Air-conditioned Breakfast  ""Right in the middle of the city....too crowded for my liking.""","{""latitude"":""21.2415053"",""longitude"":""81.635188""}",https://www.oyorooms.com/h/35562?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=RPR098&latitude=21.24058&longitude=81.63507&locale=en,0124 620 1516
362,city mobile,,,Electronics store,6JQJ+M27,In-store shopping,"{""latitude"":""21.239168"",""longitude"":""81.6300544""}",,06266996601
363,City Hospital,3.5,64,General hospital,"1, Jalashaya Marg",,"{""latitude"":""21.2465385"",""longitude"":""81.6099745""}",,07714262920
364,OYO 13546 Hotel City Palace,3.6,274,2-star hotel,2-star hotel,"Pool Free Wi-Fi Air-conditioned Breakfast  ""Right in the middle of the city....too crowded for my liking.""","{""latitude"":""21.2415053"",""longitude"":""81.635188""}",https://www.oyorooms.com/h/35562?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=RPR098&latitude=21.24058&longitude=81.63507&locale=en,0124 620 1516
367,CITY DENTIST,5.0,24,Dental clinic,"Great Eastern Rd, opposite kali mandir, near laxmi medical hall",,"{""latitude"":""21.2409796"",""longitude"":""81.6220784""}",,08815232696
369,City Care Clinic,2.8,12,Sexologist,"Near Railway Station Chowk, Station Rd",,"{""latitude"":""21.256636"",""longitude"":""81.633595""}",http://citycareclinic.in/,09755849375
371,City Women's and Child Care Clinic,5.0,6,Obstetrician-gynecologist,"Fawara Chowk, near City Pharma Medical",,"{""latitude"":""21.2349247"",""longitude"":""81.6452533""}",http://www.citywomensandchildcareclinic.com/,07440616000
374,City Dental Care Daganiya Branch,5.0,2,Hospital department,Daganiya Bazar chowk,,"{""latitude"":""21.2360927"",""longitude"":""81.6075162""}",,09584549517
376,City Wheels and Automobiles,3.9,33,Tuning automobile,Mahadev Ghat Rd,,"{""latitude"":""21.2361907"",""longitude"":""81.6157889""}",http://www.citywheels.in/,06262176060
390,City Blood Bank (Centre),4.1,44,Blood bank,"Great Eastern(G.E.) Road AshtVinayak Bhavan Azad Chowk, in front of Punjab Tailors","""Blood Bank in City centre""","{""latitude"":""21.239694"",""longitude"":""81.6279959""}",http://www.citybloodbank.com/,09827122374
395,Pietech City Office,1.0,1,Office,"Shop No. 303, 3rd Floor, Pithalia Complex, Raipur - Bilaspur Expy",,"{""latitude"":""21.2544218"",""longitude"":""81.6358222""}",http://www.pietechraipur.org/,09617770020
396,CITY PET CLINIC,4.7,12,Hospital,Usha Estate complex Near Mowa overbridge Lodhipara chauk,,"{""latitude"":""21.2649288"",""longitude"":""81.6621293""}",https://city-dog-clinic.business.site/?utm_source=gmb&utm_medium=referral,08295518890
398,Sun & Sun Inframetric ( City Office ),4.2,59,Real Estate Builders & Construction Company,"Mahila Thana Chowk, opp. Jansampark Karyalay",,"{""latitude"":""21.236514"",""longitude"":""81.641021""}",http://www.thessipl.com/,08251822222
399,NV Shoppe near city kotwali raipur,4.5,2,Indian grocery store,near city kotwali,In-store shoppingKerbside pickupDelivery,"{""latitude"":""21.23762"",""longitude"":""81.6371379""}",https://nv-shoppe-near-city-kotwali-raipur.business.site/?utm_source=gmb&utm_medium=referral,07000545704
406,Aloha City Stay,4.0,"1,255",2-star hotel,2-star hotel,"Free breakfast Air-conditioned Breakfast Wi-Fi  ""Heart of city for stay""","{""latitude"":""21.2482701"",""longitude"":""81.6307338""}",https://alohacitystay.in/,077147 00730
408,Indian Terrain - City Centre Mall Raipur,4.5,6,Clothing store,"2, City Center Mall, Pandri Rd",In-store shoppingDelivery,"{""latitude"":""21.2547699"",""longitude"":""81.6462239""}",https://www.indianterrain.com/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-indian_terrain,07714060018
411,loan city - best Business Loan in Raipur,5.0,3,Financial institution,"Shop No 16, Amrit Sandesh Complex, Kuchery Chowk",,"{""latitude"":""21.2456167"",""longitude"":""81.6402512""}",https://loancity.co.in/,09039638398
417,Railway City Booking Agency Goverment Authorised Yatri Suvidha Kendra,5.0,2,Railway Ticket Agent,Station Rd,,"{""latitude"":""21.2503234"",""longitude"":""81.6318836""}",,09425208116
427,Sun city xerox,,,Photocopiers supplier,"D-2, NH 200",,"{""latitude"":""21.2617153"",""longitude"":""81.6370633""}",,09826591968
428,New City Medical Stores,4.0,1,Pharmacy,"7J2H+GVR, City Kotoali Chowk, Chotapada Road, Chotapada Road",,"{""latitude"":""21.2513581"",""longitude"":""81.6296302""}",,07712546760
438,Puppy town - Pet Store & grooming parlour,4.7,26,Pet groomer,"335, near Bank of Baroda",In-store shoppingIn-store pick-upDelivery,"{""latitude"":""21.2461626"",""longitude"":""81.6228056""}",,09644751111
440,Top n Town ice cream,4.3,146,Ice Cream,Ice Cream,Dine-inTakeawayNo-contact delivery,"{""latitude"":""21.251761"",""longitude"":""81.6635416""}",http://www.topntown.com/,09074483060
445,Chandra Town,3.8,41,Real Estate Builders & Construction Company,"Chandra town, Ring Rd Number 1",On-site servicesOnline estimates,"{""latitude"":""21.207675"",""longitude"":""81.6132431""}",,07509001000
447,Flavor's Town Bakery & Cafe,5.0,22,Bakery and Cake Shop,"Ashoka Tower, A-7, 3rd Floor, opp. B.T.I. College Ground",Delivery,"{""latitude"":""21.2523841"",""longitude"":""81.6645258""}",https://flavors-town-bakery-cafe.business.site/,08878051786
449,Taprii the chakafè,4.4,"1,009",Restaurant,"Shop No, 107, Great Eastern Rd",Dine-inDrive-throughNo-contact delivery,"{""latitude"":""21.2410635"",""longitude"":""81.6607494""}",,09993355660
460,Muscele Town Gymnasium,4.2,28,Gym,"Unnamed Road, 492013",,"{""latitude"":""21.2253855"",""longitude"":""81.6032937""}",,09893200244
469,Shree Shayam Prachar Sewa Samiti,4.5,2,City or town hall,116 Samta Complex,,"{""latitude"":""21.2467"",""longitude"":""81.620706""}",,08435304004
593,State Bank of India RAIPUR MAIN BRANCH,,,Bank,"P.B, 29/61, Jaistambh Chowk",,"{""latitude"":""21.244727"",""longitude"":""81.633626""}",https://www.sbi.co.in/,07712533854
596,State Bank of India KUTCHERY (RAIPUR),2.7,20,Bank,"109, BALASHRAM COMPLEX JAIL ROAD DIST:RAIPUR",,"{""latitude"":""21.246936"",""longitude"":""81.641086""}",https://www.sbi.co.in/,07715040717
597,State Bank Of India,4.1,11,Public Sector Bank,6JX6+4H5,,"{""latitude"":""21.247764"",""longitude"":""81.6114829""}",https://www.sbi.co.in/,07714218167
600,State Bank of India RAMSAGAR PARA,4.3,6,Bank,"PUROHIT PLAZA, Main Rd",,"{""latitude"":""21.246785"",""longitude"":""81.6303871""}",https://www.sbi.co.in/,07714056942
604,State Bank of India AGRASEN CHOWK RAIPUR,3.7,11,Bank,Agrasen Chowk,,"{""latitude"":""21.2462765"",""longitude"":""81.6263526""}",https://www.sbi.co.in/,07712292038
608,State Bank of India,3.9,11,Public Sector Bank,Main Road,,"{""latitude"":""21.250015"",""longitude"":""81.6678201""}",https://www.sbi.co.in/,07714094021
609,State Bank of India PHAPHADIH (RAIPUR),2.5,2,Bank,"NEAR PILI BUILDING, New Timber Market Rd",,"{""latitude"":""21.265057"",""longitude"":""81.63723""}",https://www.sbi.co.in/,07712522904
612,State Bank of India - Customer Service Point,3.0,2,Public Sector Bank,"7J6H+FJ9, Near Babla Atta Chakki, Old Mangal Bazar Road",,"{""latitude"":""21.2611743"",""longitude"":""81.6291083""}",https://www.sbi.co.in/,09926791639
618,State Bank of India PANDRI RAIPUR,,,Bank,"Shoppers Paradise, near CITY CENTRE MOLL",,"{""latitude"":""21.2554544"",""longitude"":""81.6468805""}",https://www.sbi.co.in/,07712583011
625,State Bank of India BHANPURI,3.8,12,Bank,MAIN ROAD BHANPURI DIST:BASTAR,,"{""latitude"":""21.29028"",""longitude"":""81.635644""}",https://www.sbi.co.in/,07867282692
626,State Bank of India RING ROAD RAIPUR,2.7,20,Bank,"NATIONAL GARAGE, RING ROAD",,"{""latitude"":""21.223623"",""longitude"":""81.61509""}",https://www.sbi.co.in/,09302090854
627,State Bank of India SPECIALISED GOVT. BUSINESS BRANCH RAIPUR,,,Bank,"JAI STAMBH CHOWK, DIST",,"{""latitude"":""21.2488099"",""longitude"":""81.602938""}",https://www.sbi.co.in/,07714042327
631,State Bank of India RKC G E ROAD RAIPUR,4.5,4,Bank,"Great Eastern Rd, opp. RAJKUMAR COLLEGE, near RAINBOW TVS SH OW ROOM",,"{""latitude"":""21.2634458"",""longitude"":""81.6171623""}",,07714055387
635,State Bank of India PBB CENTRAL AVENUE RAIPUR,,,Bank,Bank,,"{""latitude"":""21.2330969"",""longitude"":""81.6453567""}",https://www.sbi.co.in/,07714218164
